date,gold_close,silver_close,ratio_close,gold_open,gold_high,gold_low,silver_open,silver_high,silver_low
2026-01-01,4479.09,75.49,59.33,4474.33,4539.67,4469.78,75.76,76.44,74.43
2026-01-02,4395.18,74.07,59.34,4389.01,4407.55,4341.63,74.03,74.23,73.27
2026-01-03,4471.82,75.18,59.49,4464.59,4487.23,4430.79,74.95,75.99,73.84
2026-01-04,4481.08,75.33,59.49,4488.51,4517.86,4438.75,74.98,75.91,74.58
2026-01-05,4566.09,76.76,59.48,4583.18,4647.51,4543.24,77.04,78.06,76.47
2026-01-06,4591.79,75.23,61.03,4595.73,4617.24,4584.86,74.9,76.29,73.95
2026-01-07,4667.38,74.69,62.49,4666.55,4712.94,4661.26,74.72,74.97,73.68
2026-01-08,4752.15,75.86,62.64,4763.99,4828.72,4692.57,75.54,76.05,74.52
2026-01-09,4725.78,75.45,62.63,4742.2,4761.87,4691.27,75.17,75.67,74.12
2026-01-10,4748.69,75.85,62.61,4735.5,4800.0,4693.3,75.7,76.27,75.11
2026-01-11,4798.39,74.99,63.98,4820.88,4884.1,4729.33,75.27,75.91,74.26
2026-01-12,4705.18,73.77,63.78,4714.51,4724.78,4682.13,73.41,74.49,72.98
2026-01-13,4706.15,74.76,62.95,4728.03,4788.79,4667.8,74.78,75.69,74.3
2026-01-14,4742.08,75.44,62.86,4727.39,4767.7,4716.55,75.71,76.24,75.07
2026-01-15,4824.28,76.7,62.9,4824.59,4872.87,4771.72,76.7,77.56,76.03
2026-01-16,4799.17,76.26,62.93,4821.13,4880.0,4773.75,76.13,76.96,75.74
2026-01-17,4806.61,76.37,62.94,4818.24,4864.72,4754.42,76.6,77.31,75.86
2026-01-18,4828.17,76.66,62.98,4808.26,4869.86,4776.54,76.48,77.79,75.76
2026-01-19,4792.74,76.01,63.05,4780.25,4807.06,4724.73,76.08,76.19,75.16
2026-01-20,4726.25,74.75,63.23,4703.19,4750.89,4638.84,74.92,75.96,73.88
2026-01-21,4654.22,73.65,63.2,4640.7,4671.82,4576.9,73.76,74.85,73.56
2026-01-22,4657.44,72.38,64.35,4675.15,4703.71,4641.87,72.16,72.82,71.68
2026-01-23,4702.66,72.97,64.45,4706.06,4776.53,4633.83,72.79,73.22,72.6
2026-01-24,4724.86,74.1,63.77,4709.51,4774.41,4674.33,73.98,74.78,73.88
2026-01-25,4789.07,75.29,63.61,4768.78,4843.51,4717.97,75.14,76.42,74.69
2026-01-26,4783.9,76.24,62.75,4787.16,4796.04,4765.99,76.51,77.2,75.85
2026-01-27,4836.12,77.04,62.77,4813.73,4876.53,4771.75,77.32,77.52,76.31
2026-01-28,4772.44,76.05,62.75,4766.51,4780.23,4713.64,75.74,76.44,74.79
2026-01-29,4788.88,76.29,62.77,4775.17,4826.95,4712.82,76.21,77.13,75.33
2026-01-30,4756.81,75.84,62.72,4765.21,4819.04,4721.44,75.53,76.56,74.54
2026-01-31,4663.58,76.79,60.73,4653.53,4731.49,4631.36,77.03,77.3,75.8
2026-02-01,4660.66,76.75,60.73,4645.68,4690.04,4625.28,77.13,78.21,75.79
2026-02-02,4647.85,75.38,61.66,4632.18,4674.8,4619.72,75.47,75.91,74.91
2026-02-03,4677.86,75.82,61.7,4699.15,4742.49,4609.85,75.93,76.04,74.9
2026-02-04,4706.45,76.37,61.63,4720.37,4741.62,4679.51,76.2,77.15,75.31
2026-02-05,4748.59,77.15,61.55,4725.61,4763.44,4705.68,77.49,77.64,76.51
2026-02-06,4752.43,77.22,61.54,4766.74,4794.33,4730.06,77.37,77.65,76.16
2026-02-07,4812.71,78.3,61.47,4819.83,4831.85,4804.48,78.08,78.65,77.76
2026-02-08,4898.73,77.76,63.0,4899.67,4962.58,4857.49,78.09,78.3,77.09
2026-02-09,4938.64,76.99,64.14,4957.08,5027.66,4897.08,76.95,77.46,76.36
2026-02-10,4952.21,76.21,64.98,4949.69,5008.0,4925.65,76.52,76.98,75.07
2026-02-11,4948.72,76.16,64.98,4967.1,4985.41,4899.62,76.32,76.57,75.63
2026-02-12,4995.22,76.95,64.91,5003.72,5060.6,4969.33,76.81,78.03,76.01
2026-02-14,4979.99,76.58,65.03,5004.46,5030.34,4962.6,76.79,77.86,76.19
2026-02-15,4922.5,75.84,64.9,4923.01,4961.34,4901.93,75.54,76.05,74.43
2026-02-16,4886.36,75.2,64.98,4882.59,4925.66,4875.52,74.96,75.62,74.39
